date,marketing_spend,website_traffic,lead_conversion_rate,sales_calls,proposal_submissions,new_clients,customer_retention_rate,recurring_revenue,gdp_growth,inflation_rate,it_industry_growth,competitor_pricing,sales_cycle_duration,csat_score,Sales
2023-07-01,50000,15000,0.15,100,25,5,0.85,75000,2.5,1.8,3.2,1000,45,4.2,120000
2023-08-01,55000,16500,0.16,110,28,6,0.87,78000,2.7,1.9,3.4,1050,42,4.3,125000
2023-09-01,48000,14000,0.14,95,22,4,0.84,72000,2.3,1.7,3.0,950,48,4.1,115000
2023-10-01,60000,18000,0.18,120,30,7,0.88,82000,2.9,2.0,3.6,1100,40,4.4,135000
2023-11-01,52000,15500,0.15,105,26,5,0.86,76000,2.6,1.8,3.3,1020,44,4.2,122000
2023-12-01,58000,17000,0.17,115,29,6,0.87,80000,2.8,1.9,3.5,1080,41,4.3,130000
2024-01-01,49000,14500,0.14,98,23,4,0.84,73000,2.4,1.7,3.1,960,47,4.1,118000
2024-02-01,61000,18500,0.19,125,32,8,0.89,84000,3.0,2.1,3.7,1150,39,4.5,140000
2024-03-01,53000,16000,0.16,108,27,5,0.86,77000,2.6,1.8,3.3,1030,43,4.2,124000
2024-04-01,59000,17500,0.17,118,30,7,0.88,81000,2.9,2.0,3.6,1090,40,4.4,132000
2024-05-01,50000,15000,0.15,102,24,5,0.85,75000,2.5,1.8,3.2,1000,45,4.2,121000
2024-06-01,62000,19000,0.20,130,35,9,0.90,86000,3.1,2.2,3.8,1200,38,4.6,145000
2024-07-01,54000,16500,0.16,110,28,6,0.87,78000,2.7,1.9,3.4,1040,42,4.3,126000
2024-08-01,60000,18000,0.18,122,31,7,0.88,83000,2.9,2.0,3.6,1110,39,4.4,138000
2024-09-01,51000,15500,0.15,105,25,5,0.85,76000,2.5,1.8,3.2,1010,44,4.2,123000
2024-10-01,63000,19500,0.21,135,38,10,0.91,88000,3.2,2.3,3.9,1250,37,4.7,150000
2024-11-01,55000,17000,0.17,115,29,6,0.87,79000,2.8,1.9,3.5,1050,41,4.3,128000
2024-12-01,61000,18500,0.19,125,33,8,0.89,84000,3.0,2.1,3.7,1120,38,4.5,142000
2025-01-01,52000,16000,0.16,108,26,5,0.86,77000,2.6,1.8,3.3,1020,43,4.2,125000
2025-02-01,64000,20000,0.22,140,40,11,0.92,90000,3.3,2.4,4.0,1300,36,4.8,155000 